documento,tipo,anio,ubicacion
Discurso Calles Nuevo Leon,discurso,1926,../../Data/Data/db/Originales/textos/1926_Discurso_Calles_Nuevo_Leon.txt
Ley Delitos Culto Religioso,norma,1926,../../Data/Data/db/Originales/textos/1926_Ley_Delitos_Culto_Religioso.txt
Declaraciones Calles Clero,oficial,1926,../../Data/Data/db/Originales/textos/1926_Declaraciones_Calles_Clero.txt
Carta Calles Obispos,opinion,1926,../../Data/Data/db/Originales/textos/1926_Carta_Calles_Obispos.txt
Declaración del secretario de Educación Pública José Manuel Puig Casauranc,oficial,1926,../../Data/Data/db/Originales/textos/1926DeclaracióndelsecretariodeEducacion.txt
Mensaje Año Nuevo Calles,opinion,1927,../../Data/Data/db/Originales/textos/1927_Mensaje_AñoNuevo_Calles.txt
Informe Presidencial Calles,oficial,1928,../../Data/Data/db/Originales/textos/1928_Informe_Presidencial_Calles.txt
Discurso de Plutarco Elías Calles al abrir las sesiones ordinarias del Congreso,oficial,1928,../../Data/Data/db/Originales/textos/1928_Discurso_de_Plutarco_Elias_Calles_Congreso.txt
Mensaje a la Nación con motivo del asesinato de Álvaro Obregón,oficial,1928,../../Data/Data/db/Originales/textos/1928_Mensaje_a_la_Nacion_con_motivo_del_asesinato.txt
Proyecto de ley reglamentaria del artículo 130,oficial,1926,../../Data/Data/db/Originales/textos/1926_Proyecto_de_ley_reglamentaria_del_articulo_130.txt
El presidente Calles al abrir las sesiones ordinarias el Congreso. (Fragmento),oficial,1926,../../Data/Data/db/Originales/textos/1926_El_presidente_Calles_al_abrir_las_sesiones_ordinarias_el_Congreso.txt
